Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Spotify Link
134,Swimming,Autumn's Descent,4B ,72,02:40,0,23,17,3,93,91,3,5,-19,
135,Living in the Present,Celestial Cascade,3B,83,02:15,0,16,21,14,92,92,12,4,-27,
136,Reiki,Arctic Comfort,3B,65,02:18,5,14,19,17,79,97,10,4,-26,
137,Crystal Gaze,Eon Wilder,8B,77,04:24,4,12,15,3,94,95,11,6,-27,
138,Beach-Side Tranquility,Deep Focus,8A,129,02:51,1,1,17,4,100,98,8,5,-33,
139,Infinite Depth,Música para Dormir Con Relajantes Sonidos de la Naturaleza,4B,87,02:59,4,3,22,4,95,46,13,4,-31,
140,Focused,Celestial Cascade,5B ,84,02:15,2,13,13,18,91,98,9,4,-30,
141,Ocean Breezes,Aurelia Mist,9B,91,02:26,0,6,18,4,94,98,9,4,-29,
142,Cosmic Waters,Arctic Comfort,9B,03:21,15,9,20,31,100,94,32,34,4,-20,
143,The Keys Sounded Softly,Woodland Friends,8B,75,04:24,5,10,11,5,98,88,11,5,-22,
144,Wander by the Shore,Oceara,10A,68,02:42,5,4,21,9,99,0,9,6,-29,
145,Alpha Waves,Celestial Cascade,12A,72,01:13,3,2,24,4,100,99,7,4,-34,
146,Sleep Meditation,Derrol,12B,135,01:46,27,1,16,4,96,81,10,4,-34,
147,Mindfulness Meditation,Derrol,12B,138,02:21,26,1,15,3,95,87,10,5,-32,
148,Deep Sleep (Meditation),Derrol,11B,79,02:30,27,3,8,3,91,84,11,4,-32,
149,Loving Kindness Meditation,Derrol,8B,136,02:15,26,3,15,4,94,87,10,4,-30,
150,Meditation For Anxiety,Derrol,12B,133,01:37,23,1,19,4,95,92,12,4,-31,
151,Tiny Dancer - Piano Lullaby Version,Sleepyheadz,8B,206,05:05,64,1,54,11,98,95,11,4,-33,
152,Baby Love - Lullaby Love Songs for You and Your Baby,Sleepyheadz,5B,66,04:59,60,1,22,9,99,96,17,4,-37,
153,Stay with Me - Piano Lullaby Version,Sleepyheadz,7B,145,03:01,35,1,26,5,99,94,11,4,-35,
154,Skinny Love - Piano Lullaby Version,Sleepyheadz,12B,134,03:48,56,2,49,13,97,97,12,4,-33,
155,Baby Can I Hold You - Piano Lullaby Version,Sleepyheadz,10B,136,03:31,57,1,45,7,99,92,6,4,-36,
156,Fix You - Piano Lullaby Version,Sleepyheadz,5B,60,04:05,60,0,50,11,99,93,9,4,-32,
157,"Can You Feel the Love Tonight (From ""The Lion King"") - Piano Lullaby Version",Sleepyheadz,6B,109,04:11,46,2,28,18,99,93,10,4,-28,
158,Make You Feel My Love - Piano Lullaby Version,Sleepyheadz,6B,140,03:54,60,1,32,9,98,93,10,4,-35,
159,Stand by Me - Piano Lullaby Version,Sleepyheadz,8B,142,02:40,56,0,19,7,99,92,9,4,-37,
160,I Want to Know What Love Is - Piano Lullaby Version,Sleepyheadz,2B,72,04:24,31,1,48,9,98,76,10,4,-30,
161,I Will Always Love You - Piano Lullaby Version,Sleepyheadz,11B,76,03:26,57,1,18,18,99,92,8,4,-36,
162,Your Song - Piano Lullaby Version,Sleepyheadz,5B,66,04:59,60,1,22,9,99,96,17,4,-37,
163,Time After Time - Piano Lullaby Version,Sleepyheadz,8B,78,04:22,57,0,39,4,99,94,11,4,-38,
164,My Heart Will Go On - Piano Lullaby Version,Sleepyheadz,12B,100,04:23,32,1,47,11,96,91,12,3,-34,
165,Let's Stay Together - Piano Lullaby Version,Sleepyheadz,7B,95,03:34,30,1,67,15,99,94,8,4,-32,
166,Nothing Compares 2 U - Piano Lullaby Version,Sleepyheadz,7B,119,03:09,34,1,40,21,89,87,10,4,-34,
167,With Or Without You - Piano Lullaby Version,Sleepyheadz,5B,75,04:33,34,1,41,6,99,96,9,4,-35,
168,Thinking Out Loud - Piano Lullaby Version,Sleepyheadz,10B,140,05:18,30,1,59,16,98,95,8,4,-33,
169,I Say a Little Prayer - Piano Lullaby Version,Sleepyheadz,11B,172,03:06,31,1,43,5,99,96,9,4,-35,
170,Say You Won't Let Go - Piano Lullaby Version,Sleepyheadz,6B,77,04:44,31,2,50,11,99,90,11,4,-33,
171,Winter Nights,Calmly,4A,72,02:22,75,0,10,4,97,62,11,4,-42,
172,Nightfall,Calmly,9B,128,02:22,70,0,17,4,98,71,10,5,-41,
173,Soft Slumber,Calmly,6A,69,02:26,72,0,15,4,99,67,11,5,-41,
